ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
1,NTA2020,Brooklyn,BK1001,Bay Ridge,3,Brooklyn,BK1001,Match,Bay Ridge,Match,47,0.04,4,96,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),,0,"86,779"
2,NTA2020,Brooklyn,BK0702,Sunset Park (West),3,Brooklyn,BK0702,Match,Sunset Park (West),Match,47,0.23,23,77,SnstPk_W,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),,0,"54,473"
3,NTA2020,Brooklyn,BK0601,"Carroll Gardens, Cobble Hill, Gowanus, Red Hook",3,Brooklyn,BK0601,Match,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,No Match,47,0.41,41,59,CrrllGrdns,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),,0,"59,166"
4,NTA2020,Brooklyn,BK0201,Brooklyn Heights,3,Brooklyn,BK0201,Match,Brooklyn Heights,Match,47,0.11,11,89,BkHts,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),,0,"25,092"
5,NTA2020,Brooklyn,BK0202,"Downtown Brooklyn, DUMBO, Boerum Hill",3,Brooklyn,BK0202,Match,Downtown Brooklyn-DUMBO-Boerum Hill,No Match,47,0.07,7,93,DwntwnBk,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),,0,"40,968"
6,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,3,Brooklyn,BK0261,Match,Brooklyn Navy Yard,Match,47,0.66,66,34,BkNvyYrd,6,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),,6,5
7,NTA2020,Brooklyn,BK0203,Fort Greene,3,Brooklyn,BK0203,Match,Fort Greene,Match,47,0.01,1,99,FtGrn,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),,0,"32,938"
8,NTA2020,Brooklyn,BK0204,Clinton Hill,3,Brooklyn,BK0204,Match,Clinton Hill,Match,47,0,0,100,ClntnHl,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),,0,"28,647"
9,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),3,Brooklyn,BK0301,Match,Bedford-Stuyvesant (West),Match,47,0,0,100,BdSty_W,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),,0,"89,189"
10,NTA2020,Brooklyn,BK0103,South Williamsburg,3,Brooklyn,BK0103,Match,South Williamsburg,Match,47,0.04,4,96,SWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),,0,"47,703"
11,NTA2020,Brooklyn,BK0102,Williamsburg,3,Brooklyn,BK0102,Match,Williamsburg,Match,47,0.13,13,87,Wllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),,0,"64,444"
12,NTA2020,Brooklyn,BK0101,Greenpoint,3,Brooklyn,BK0101,Match,Greenpoint,Match,47,0.32,32,68,Grnpt,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),,0,"38,980"
13,NTA2020,Brooklyn,BK0104,East Williamsburg,3,Brooklyn,BK0104,Match,East Williamsburg,Match,47,0.1,10,90,EWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),,0,"52,998"
