ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
1,NTA2020,Bronx,BX0101,"Mott Haven, Port Morris",2,Bronx,BX0101,Match,Mott Haven-Port Morris,No Match,5,0.2,20,80,MttHvn,0,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),,0,"57,718"
2,NTA2020,Bronx,BX0401,"Concourse, Concourse Village",2,Bronx,BX0401,Match,Concourse-Concourse Village,No Match,5,0.06,6,94,Cncrs,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),,0,"69,387"
3,NTA2020,Bronx,BX0491,"Yankee Stadium, Macombs Dam Park",2,Bronx,BX0491,Match,Yankee Stadium-Macombs Dam Park,No Match,5,0,0,100,YnkStdm,9,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),,9,19
4,NTA2020,Bronx,BX0402,Highbridge,2,Bronx,BX0402,Match,Highbridge,Match,5,0.08,8,92,Hghbrdg,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),,0,"32,456"
5,NTA2020,Bronx,BX0501,"University Heights (South), Morris Heights",2,Bronx,BX0501,Match,University Heights (South)-Morris Heights,No Match,5,0.08,8,92,UnvrsHts_S,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),,0,"54,682"
6,NTA2020,Bronx,BX0701,"University Heights (North), Fordham",2,Bronx,BX0701,Match,University Heights (North)-Fordham,No Match,5,0.05,5,95,UnvrsHts_N,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),,0,"46,538"
7,NTA2020,Bronx,BX0801,"Kingsbridge Heights, Van Cortlandt Village",2,Bronx,BX0801,Match,Kingsbridge Heights-Van Cortlandt Village,No Match,5,0.02,2,98,KngbrdgHts,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),,0,"35,777"
8,NTA2020,Bronx,BX0802,"Kingsbridge, Marble Hill",2,Bronx,BX0802,Match,Kingsbridge-Marble Hill,No Match,5,0.09,9,91,Kngbrdg,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),,0,"22,807"
9,NTA2020,Bronx,BX0803,"Riverdale, Spuyten Duyvil",2,Bronx,BX0803,Match,Riverdale-Spuyten Duyvil,No Match,5,0.04,4,96,Rvrdl,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),,0,"47,927"
10,NTA2020,Bronx,BX2691,Van Cortlandt Park,2,Bronx,BX2691,Match,Van Cortlandt Park,Match,5,0,0,100,VnCrtldtPk,9,BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent),,9,122
11,NTA2020,Bronx,BX1271,Woodlawn Cemetery,2,Bronx,BX1271,Match,Woodlawn Cemetery,Match,5,0,0,100,WdlnCem,7,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),,7,2
12,NTA2020,Bronx,BX0703,Norwood,2,Bronx,BX0703,Match,Norwood,Match,5,0,0,100,Nrwd,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),,0,"43,466"
13,NTA2020,Bronx,BX0702,Bedford Park,2,Bronx,BX0702,Match,Bedford Park,Match,5,0,0,100,BdfrdPk,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),,0,"55,521"
14,NTA2020,Bronx,BX0603,Belmont,2,Bronx,BX0603,Match,Belmont,Match,5,0,0,100,Blmnt,0,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),,0,"35,825"
15,NTA2020,Bronx,BX0503,Fordham Heights,2,Bronx,BX0503,Match,Fordham Heights,Match,5,0,0,100,FrdhmHts,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),,0,"32,099"
16,NTA2020,Bronx,BX0502,Mount Hope,2,Bronx,BX0502,Match,Mount Hope,Match,5,0,0,100,MtHp,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),,0,"49,099"
17,NTA2020,Bronx,BX0403,"Mount Eden, Claremont (West)",2,Bronx,BX0403,Match,Mount Eden-Claremont (West),No Match,5,0,0,100,MtEdn,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),,0,"49,651"
18,NTA2020,Bronx,BX0492,Claremont Park,2,Bronx,BX0492,Match,Claremont Park,Match,5,0,0,100,ClrmntPk,9,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),,9,10
19,NTA2020,Bronx,BX0302,"Claremont Village, Claremont (East)",2,Bronx,BX0302,Match,Claremont Village-Claremont (East),No Match,5,0,0,100,ClrmntVlg,0,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),,0,"24,553"
20,NTA2020,Bronx,BX0301,Morrisania,2,Bronx,BX0301,Match,Morrisania,Match,5,0,0,100,Mrrsnia,0,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),,0,"37,607"
21,NTA2020,Bronx,BX0102,Melrose,2,Bronx,BX0102,Match,Melrose,Match,5,0,0,100,Mlrs,0,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),,0,"42,651"
22,NTA2020,Bronx,BX0202,Longwood,2,Bronx,BX0202,Match,Longwood,Match,5,0,0,100,Lngwd,0,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),,0,"40,289"
