ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
1,NTA2020,Manhattan,MN0191,"The Battery, Governors Island, Ellis Island, Liberty Island",1,Manhattan,MN0191,Match,The Battery-Governors Island-Ellis Island-Liberty Island,No Match,61,0.53,53,47,Btry_GvIsl,9,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),,9,8
2,NTA2020,Manhattan,MN0101,"Financial District, Battery Park City",1,Manhattan,MN0101,Match,Financial District-Battery Park City,No Match,61,0.38,38,62,FiDi,0,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),,0,"52,992"
3,NTA2020,Manhattan,MN0102,"Tribeca, Civic Center",1,Manhattan,MN0102,Match,Tribeca-Civic Center,No Match,61,0.21,21,79,TriBeCa,0,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),,0,"25,390"
4,NTA2020,Manhattan,MN0201,"SoHo, Little Italy, Hudson Square",1,Manhattan,MN0201,Match,SoHo-Little Italy-Hudson Square,No Match,61,0.17,17,83,SoHo,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),,0,"23,287"
5,NTA2020,Manhattan,MN0203,West Village,1,Manhattan,MN0203,Match,West Village,Match,61,0.24,24,76,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),,0,"35,011"
6,NTA2020,Manhattan,MN0401,"Chelsea, Hudson Yards",1,Manhattan,MN0401,Match,Chelsea-Hudson Yards,No Match,61,0.27,27,73,Chls_HdsYd,0,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),,0,"69,741"
7,NTA2020,Manhattan,MN0402,Hell's Kitchen,1,Manhattan,MN0402,Match,Hell's Kitchen,Match,61,0.08,8,92,HllsKtchn,0,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),,0,"59,524"
8,NTA2020,Manhattan,MN0701,"Upper West Side, Lincoln Square",1,Manhattan,MN0701,Match,Upper West Side-Lincoln Square,No Match,61,0.06,6,94,UWS_LclnSq,0,MN07,MN07 Upper West Side (CD 7 Approximation),,0,"70,697"
9,NTA2020,Manhattan,MN0702,Upper West Side (Central),1,Manhattan,MN0702,Match,Upper West Side (Central),Match,61,0.01,1,99,UWS_C,0,MN07,MN07 Upper West Side (CD 7 Approximation),,0,"101,767"
10,NTA2020,Manhattan,MN0703,"Upper West Side, Manhattan Valley",1,Manhattan,MN0703,Match,Upper West Side-Manhattan Valley,No Match,61,0.02,2,98,UWS_MnVly,0,MN07,MN07 Upper West Side (CD 7 Approximation),,0,"51,751"
11,NTA2020,Manhattan,MN0901,Morningside Heights,1,Manhattan,MN0901,Match,Morningside Heights,Match,61,0.02,2,98,MrngsdHts,0,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),,0,"38,865"
12,NTA2020,Manhattan,MN0902,"Manhattanville, West Harlem",1,Manhattan,MN0902,Match,Manhattanville-West Harlem,No Match,61,0.05,5,95,Mnhttnvl,0,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),,0,"22,183"
13,NTA2020,Manhattan,MN0903,"Hamilton Heights, Sugar Hill",1,Manhattan,MN0903,Match,Hamilton Heights-Sugar Hill,No Match,61,0.06,6,94,HmltnHts,0,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),,0,"49,410"
