ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
1,NTA2020,Queens,QN0202,Sunnyside,4,Queens,QN0202,Match,Sunnyside,Match,81,0.05,5,95,Snnysd,0,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),,0,"52,278"
2,NTA2020,Queens,QN0201,"Long Island City, Hunters Point",4,Queens,QN0201,Match,Long Island City-Hunters Point,No Match,81,0.4,40,60,LIC,0,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),,0,"32,216"
3,NTA2020,Queens,QN0261,Sunnyside Yards (South),4,Queens,QN0261,Match,Sunnyside Yards (South),Match,81,0.05,5,95,SnnysdYd_S,6,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),,6,36
4,NTA2020,Queens,QN0105,"Queensbridge, Ravenswood, Dutch Kills",4,Queens,QN0105,Match,Queensbridge-Ravenswood-Dutch Kills,No Match,81,0.06,6,94,Qnsbrdg,0,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,0,"32,954"
5,NTA2020,Queens,QN0102,"Old Astoria, Hallets Point",4,Queens,QN0102,Match,Old Astoria-Hallets Point,No Match,81,0.28,28,72,OldAstr,0,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,0,"18,927"
6,NTA2020,Queens,QN0103,Astoria (Central),4,Queens,QN0103,Match,Astoria (Central),Match,81,0,0,100,Astr_C,0,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,0,"52,220"
7,NTA2020,Queens,QN0191,Astoria Park,4,Queens,QN0191,Match,Astoria Park,Match,81,0.02,2,98,AstrPk,9,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,9,0
8,NTA2020,Queens,QN0101,"Astoria (North), Ditmars, Steinway",4,Queens,QN0101,Match,Astoria (North)-Ditmars-Steinway,No Match,81,0.04,4,96,Astr_N,0,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),,0,"50,225"
9,NTA2020,Queens,QN8081,LaGuardia Airport,4,Queens,QN8081,Match,LaGuardia Airport,Match,81,0.63,63,37,LGA,8,QN80,QN80 LaGuardia Airport (JIA 80 Approximation),,8,0
10,NTA2020,Queens,QN0302,East Elmhurst,4,Queens,QN0302,Match,East Elmhurst,Match,81,0,0,100,EstElmhrst,0,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),,0,"33,573"
11,NTA2020,Queens,QN0303,North Corona,4,Queens,QN0303,Match,North Corona,Match,81,0,0,100,NrthCrna,0,QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),,0,"43,434"
12,NTA2020,Queens,QN8191,"Flushing Meadows, Corona Park",4,Queens,QN8191,Match,Flushing Meadows-Corona Park,No Match,81,0.44,44,56,FlshMdwCPk,9,QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),,9,44
13,NTA2020,Queens,QN0707,"Flushing, Willets Point",4,Queens,QN0707,Match,Flushing-Willets Point,No Match,81,0.11,11,89,Flshng,0,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,0,"69,879"
14,NTA2020,Queens,QN0701,College Point,4,Queens,QN0701,Match,College Point,Match,81,0.17,17,83,CllgPt,0,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,0,"33,625"
15,NTA2020,Queens,QN0704,"Murray Hill, Broadway Flushing",4,Queens,QN0704,Match,Murray Hill-Broadway Flushing,No Match,81,0,0,100,MryHl_BwyF,0,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,0,"57,387"
16,NTA2020,Queens,QN0702,"Whitestone, Beechhurst",4,Queens,QN0702,Match,Whitestone-Beechhurst,No Match,81,0.01,1,99,Whtstn,0,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,0,"28,408"
17,NTA2020,Queens,QN0703,"Bay Terrace, Clearview",4,Queens,QN0703,Match,Bay Terrace-Clearview,No Match,81,0.02,2,98,ByTr_Clrvw,0,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,0,"23,287"
18,NTA2020,Queens,QN0761,Fort Totten,4,Queens,QN0761,Match,Fort Totten,Match,81,0.15,15,85,FtTttn,6,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),,6,0
