ReOrder,GeoType,Borough,NTANum,NTAName,borocode2,boroname2,nta2020_2,,ntaname_2,,countyfips_2,Sandy_PCT,PctWater,PctSky,ntaabbrev_2,ntatype_2,cdta2020,cdtaname_2,CD Type,NTA Type,Population2020
1,NTA2020,Staten Island,SI0305,"Tottenville, Charleston",5,Staten Island,SI0305,Match,Tottenville-Charleston,No Match,85,0.16,16,84,Tttnvl,0,SI03,SI03 South Shore (CD 3 Approximation),,0,"16,089"
2,NTA2020,Staten Island,SI0303,"Arden Heights, Rossville",5,Staten Island,SI0303,Match,Arden Heights-Rossville,No Match,85,0,0,100,ArdnHts,0,SI03,SI03 South Shore (CD 3 Approximation),,0,"30,683"
3,NTA2020,Staten Island,SI0391,Freshkills Park (South),5,Staten Island,SI0391,Match,Freshkills Park (South),Match,85,0.2,20,80,FrshklPK_S,9,SI03,SI03 South Shore (CD 3 Approximation),,9,95
4,NTA2020,Staten Island,SI0291,Freshkills Park (North),5,Staten Island,SI0291,Match,Freshkills Park (North),Match,85,0.32,32,68,FrshklPk_N,9,SI02,SI02 Mid-Island (CD 2 Approximation),,9,15
5,NTA2020,Staten Island,SI0203,"Todt Hill, Emerson Hill, Lighthouse Hill, Manor Heights",5,Staten Island,SI0203,Match,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,No Match,85,0.06,6,94,TdtHl,0,SI02,SI02 Mid-Island (CD 2 Approximation),,0,"32,822"
6,NTA2020,Staten Island,SI0204,"New Springville, Willowbrook, Bulls Head, Travis",5,Staten Island,SI0204,Match,New Springville-Willowbrook-Bulls Head-Travis,No Match,85,0.41,41,59,NwSprngvl,0,SI02,SI02 Mid-Island (CD 2 Approximation),,0,"42,871"
7,NTA2020,Staten Island,SI0107,"Mariner's Harbor, Arlington, Graniteville",5,Staten Island,SI0107,Match,Mariner's Harbor-Arlington-Graniteville,No Match,85,0.36,36,64,MrnrsHrbr,0,SI01,SI01 North Shore (CD 1 Equivalent),,0,"33,492"
8,NTA2020,Staten Island,SI0106,Port Richmond,5,Staten Island,SI0106,Match,Port Richmond,Match,85,0.1,10,90,PrtRchmnd,0,SI01,SI01 North Shore (CD 1 Equivalent),,0,"22,609"
9,NTA2020,Staten Island,SI0105,"Westerleigh, Castleton Corners",5,Staten Island,SI0105,Match,Westerleigh-Castleton Corners,No Match,85,0,0,100,Wstrlgh,0,SI01,SI01 North Shore (CD 1 Equivalent),,0,"31,458"
10,NTA2020,Staten Island,SI0104,"West New Brighton, Silver Lake, Grymes Hill",5,Staten Island,SI0104,Match,West New Brighton-Silver Lake-Grymes Hill,No Match,85,0.01,1,99,WstNwBrgtn,0,SI01,SI01 North Shore (CD 1 Equivalent),,0,"37,010"
11,NTA2020,Staten Island,SI0191,Snug Harbor,5,Staten Island,SI0191,Match,Snug Harbor,Match,85,0.24,24,76,SngHrbr,9,SI01,SI01 North Shore (CD 1 Equivalent),,9,8
